,Player,Number,Position,Height
55,MilesPlumlee,18,Center,6 ft 11 in | 249 lbs
56,AlexPoythress,22,Forward,6 ft 9 in | 235 lbs
57,TaureanPrince,12,Forward,6 ft 8 in | 220 lbs
58,OmariSpellman,6,Forward,6 ft 9 in | 245 lbs
59,TraeYoung,11,Guard,6 ft 2 in | 180 lbs
60,JaylenAdams,10,Guard,6 ft 2 in | 190 lbs
61,JustinAnderson,1,Guard-Forward,6 ft 6 in | 230 lbs
62,KentBazemore,24,Guard,6 ft 5 in | 201 lbs
63,DeAndre'Bembry,95,Forward,6 ft 6 in | 210 lbs
64,VinceCarter,15,Forward-Guard,6 ft 6 in | 220 lbs
65,JohnCollins,20,Forward-Center,6 ft 10 in | 235 lbs
66,DewayneDedmon,14,Center,7 ft 0 in | 245 lbs
67,KevinHuerter,3,Guard,6 ft 7 in | 190 lbs
68,IsaacHumphries,8,Center,7 ft 0 in | 260 lbs
69,AlexLen,25,Center,7 ft 1 in | 250 lbs
70,MilesPlumlee,18,Center,6 ft 11 in | 249 lbs
71,AlexPoythress,22,Forward,6 ft 9 in | 235 lbs
72,TaureanPrince,12,Forward,6 ft 8 in | 220 lbs
73,OmariSpellman,6,Forward,6 ft 9 in | 245 lbs
74,TraeYoung,11,Guard,6 ft 2 in | 180 lbs
75,JaylenAdams,10,Guard,6 ft 2 in | 190 lbs
76,JustinAnderson,1,Guard-Forward,6 ft 6 in | 230 lbs
77,KentBazemore,24,Guard,6 ft 5 in | 201 lbs
78,DeAndre'Bembry,95,Forward,6 ft 6 in | 210 lbs
79,VinceCarter,15,Forward-Guard,6 ft 6 in | 220 lbs
80,JohnCollins,20,Forward-Center,6 ft 10 in | 235 lbs
81,DewayneDedmon,14,Center,7 ft 0 in | 245 lbs
82,KevinHuerter,3,Guard,6 ft 7 in | 190 lbs
83,IsaacHumphries,8,Center,7 ft 0 in | 260 lbs
84,AlexLen,25,Center,7 ft 1 in | 250 lbs
85,MilesPlumlee,18,Center,6 ft 11 in | 249 lbs
86,AlexPoythress,22,Forward,6 ft 9 in | 235 lbs
87,TaureanPrince,12,Forward,6 ft 8 in | 220 lbs
88,OmariSpellman,6,Forward,6 ft 9 in | 245 lbs
89,TraeYoung,11,Guard,6 ft 2 in | 180 lbs
90,JaylenAdams,10,Guard,6 ft 2 in | 190 lbs
91,JustinAnderson,1,Guard-Forward,6 ft 6 in | 230 lbs
92,KentBazemore,24,Guard,6 ft 5 in | 201 lbs
93,DeAndre'Bembry,95,Forward,6 ft 6 in | 210 lbs
94,VinceCarter,15,Forward-Guard,6 ft 6 in | 220 lbs
95,JohnCollins,20,Forward-Center,6 ft 10 in | 235 lbs
96,DewayneDedmon,14,Center,7 ft 0 in | 245 lbs
97,KevinHuerter,3,Guard,6 ft 7 in | 190 lbs
98,IsaacHumphries,8,Center,7 ft 0 in | 260 lbs
99,AlexLen,25,Center,7 ft 1 in | 250 lbs
100,MilesPlumlee,18,Center,6 ft 11 in | 249 lbs
101,AlexPoythress,22,Forward,6 ft 9 in | 235 lbs
102,TaureanPrince,12,Forward,6 ft 8 in | 220 lbs
103,OmariSpellman,6,Forward,6 ft 9 in | 245 lbs
104,TraeYoung,11,Guard,6 ft 2 in | 180 lbs
105,JaylenAdams,10,Guard,6 ft 2 in | 190 lbs
106,JustinAnderson,1,Guard-Forward,6 ft 6 in | 230 lbs
107,KentBazemore,24,Guard,6 ft 5 in | 201 lbs
108,DeAndre'Bembry,95,Forward,6 ft 6 in | 210 lbs
109,VinceCarter,15,Forward-Guard,6 ft 6 in | 220 lbs
110,JohnCollins,20,Forward-Center,6 ft 10 in | 235 lbs
111,DewayneDedmon,14,Center,7 ft 0 in | 245 lbs
112,KevinHuerter,3,Guard,6 ft 7 in | 190 lbs
113,IsaacHumphries,8,Center,7 ft 0 in | 260 lbs
114,AlexLen,25,Center,7 ft 1 in | 250 lbs
115,MilesPlumlee,18,Center,6 ft 11 in | 249 lbs
116,AlexPoythress,22,Forward,6 ft 9 in | 235 lbs
117,TaureanPrince,12,Forward,6 ft 8 in | 220 lbs
118,OmariSpellman,6,Forward,6 ft 9 in | 245 lbs
119,TraeYoung,11,Guard,6 ft 2 in | 180 lbs
120,JaylenAdams,10,Guard,6 ft 2 in | 190 lbs
121,JustinAnderson,1,Guard-Forward,6 ft 6 in | 230 lbs
122,KentBazemore,24,Guard,6 ft 5 in | 201 lbs
123,DeAndre'Bembry,95,Forward,6 ft 6 in | 210 lbs
124,VinceCarter,15,Forward-Guard,6 ft 6 in | 220 lbs
125,JohnCollins,20,Forward-Center,6 ft 10 in | 235 lbs
126,DewayneDedmon,14,Center,7 ft 0 in | 245 lbs
127,KevinHuerter,3,Guard,6 ft 7 in | 190 lbs
128,IsaacHumphries,8,Center,7 ft 0 in | 260 lbs
129,AlexLen,25,Center,7 ft 1 in | 250 lbs
130,MilesPlumlee,18,Center,6 ft 11 in | 249 lbs
131,AlexPoythress,22,Forward,6 ft 9 in | 235 lbs
132,TaureanPrince,12,Forward,6 ft 8 in | 220 lbs
133,OmariSpellman,6,Forward,6 ft 9 in | 245 lbs
134,TraeYoung,11,Guard,6 ft 2 in | 180 lbs
135,JaylenAdams,10,Guard,6 ft 2 in | 190 lbs
136,JustinAnderson,1,Guard-Forward,6 ft 6 in | 230 lbs
137,KentBazemore,24,Guard,6 ft 5 in | 201 lbs
138,DeAndre'Bembry,95,Forward,6 ft 6 in | 210 lbs
139,VinceCarter,15,Forward-Guard,6 ft 6 in | 220 lbs
140,JohnCollins,20,Forward-Center,6 ft 10 in | 235 lbs
141,DewayneDedmon,14,Center,7 ft 0 in | 245 lbs
142,KevinHuerter,3,Guard,6 ft 7 in | 190 lbs
143,IsaacHumphries,8,Center,7 ft 0 in | 260 lbs
144,AlexLen,25,Center,7 ft 1 in | 250 lbs
145,MilesPlumlee,18,Center,6 ft 11 in | 249 lbs
146,AlexPoythress,22,Forward,6 ft 9 in | 235 lbs
147,TaureanPrince,12,Forward,6 ft 8 in | 220 lbs
148,OmariSpellman,6,Forward,6 ft 9 in | 245 lbs
149,TraeYoung,11,Guard,6 ft 2 in | 180 lbs
150,JaylenAdams,10,Guard,6 ft 2 in | 190 lbs
151,JustinAnderson,1,Guard-Forward,6 ft 6 in | 230 lbs
152,KentBazemore,24,Guard,6 ft 5 in | 201 lbs
153,DeAndre'Bembry,95,Forward,6 ft 6 in | 210 lbs
154,VinceCarter,15,Forward-Guard,6 ft 6 in | 220 lbs
155,JohnCollins,20,Forward-Center,6 ft 10 in | 235 lbs
156,DewayneDedmon,14,Center,7 ft 0 in | 245 lbs
157,KevinHuerter,3,Guard,6 ft 7 in | 190 lbs
158,IsaacHumphries,8,Center,7 ft 0 in | 260 lbs
159,AlexLen,25,Center,7 ft 1 in | 250 lbs
160,MilesPlumlee,18,Center,6 ft 11 in | 249 lbs
161,AlexPoythress,22,Forward,6 ft 9 in | 235 lbs
162,TaureanPrince,12,Forward,6 ft 8 in | 220 lbs
163,OmariSpellman,6,Forward,6 ft 9 in | 245 lbs
164,TraeYoung,11,Guard,6 ft 2 in | 180 lbs
165,JaylenAdams,10,Guard,6 ft 2 in | 190 lbs
